PassengerId,Survived,Probability
892,0,0.10544591177648692
893,0,0.378685089766284
894,0,0.08783716070599436
895,0,0.10463535210250952
896,1,0.5808879185256084
897,0,0.15820746967019877
898,1,0.6839607862178074
899,0,0.15454405374945712
900,1,0.7852313237727946
901,0,0.07054716527967177
902,0,0.10095127858187315
903,0,0.2352835245126865
904,1,0.9494421132903437
905,0,0.049910391295697853
906,1,0.6764923528643837
907,1,0.8322984225720973
908,0,0.206440994440374
909,0,0.17361965229886114
910,1,0.5587538425559136
911,1,0.5781286340433158
912,0,0.20837691843893882
913,0,0.16379010955341697
914,1,0.9046300350792262
915,1,0.5398125844482897
916,1,0.9576101861116634
917,0,0.03501107453523239
918,1,0.9706383662020243
919,0,0.16593642902868933
920,0,0.413095479548183
921,0,0.07805368312368342
922,0,0.0777119352021001
923,0,0.1342074607760411
924,0,0.4634843571650817
925,1,0.5122270680793604
926,0,0.34873708138067633
927,0,0.18704794333707062
928,1,0.6368174904999329
929,1,0.6939962250000626
930,0,0.11203484411847679
931,0,0.12366471084837215
932,0,0.09135538430994583
933,1,0.5256578028224924
934,0,0.06541243785677263
935,1,0.785951591999053
936,1,0.8801091646776132
937,0,0.11130019847867412
938,0,0.46877339769238435
939,0,0.1298528465000475
940,1,0.9085781470064269
941,1,0.520959989416543
942,1,0.5110377167113047
943,0,0.27827978215271204
944,1,0.7061546613534181
945,1,0.8257447767463665
946,0,0.2715469508136023
947,0,0.06271502257140453
948,0,0.08009104720777883
949,0,0.11076984792807266
950,0,0.07520530005372252
951,1,0.9827688527091926
952,0,0.14345200083885848
953,0,0.17987469806091289
954,0,0.13896178428150124
955,1,0.7433093492174708
956,1,0.8010280316705728
957,1,0.8039234907028484
958,1,0.7701827966997677
959,0,0.24269820593488342
960,1,0.5934599729012512
961,1,0.7091693250338574
962,1,0.7292200863549635
963,0,0.12649757002536582
964,1,0.6282333628702121
965,1,0.6142727061337617
966,1,0.978974672788144
967,1,0.7656819440511355
968,0,0.10101710517932222
969,1,0.8891748799832287
970,0,0.19048547819432773
971,1,0.7292200863549635
972,0,0.18993135293693605
973,0,0.3190925772539618
974,0,0.21623434264260308
975,0,0.10095127858187315
976,0,0.24977336396806127
977,0,0.10509668227998327
978,1,0.7072868685083937
979,1,0.7160643635836622
980,1,0.6995784487033979
981,0,0.29831343535591365
982,1,0.6096696667513295
983,0,0.10089973674769219
984,1,0.7165680636242377
985,0,0.10101710517932222
986,0,0.4899449113701537
987,0,0.11124012160785955
988,0,0.38396881921814735
989,0,0.09771226285404366
990,1,0.7008634302284451
991,0,0.08566939463737422
992,1,0.9209252039292886
993,0,0.16274752840690926
994,0,0.1298528465000475
995,0,0.10768794477710057
996,1,0.7113622557996017
997,0,0.10736815968120732
998,0,0.16144492992242646
999,0,0.1298528465000475
1000,0,0.10130035413900917
1001,0,0.4002919533735967
1002,0,0.1881960595174846
1003,1,0.6996073046138175
1004,1,0.9506819506299515
1005,1,0.7664493071156966
1006,1,0.8942572872474572
1007,0,0.1445020363899175
1008,0,0.13963768616234237
1009,0,0.49499518091260203
1010,1,0.6025676046921453
1011,1,0.7382586076879725
1012,1,0.8773772695151758
1013,0,0.0941922921764438
1014,1,0.9402847032993523
1015,0,0.10067600588552025
1016,0,0.1298528465000475
1017,1,0.7083320584837354
1018,0,0.12248531832656079
1019,1,0.5487739475202383
1020,0,0.13204551671141654
1021,0,0.11500603700241926
1022,0,0.08855946609640833
1023,0,0.39616560655801136
1024,1,0.5487903956247774
1025,0,0.10160375871727997
1026,0,0.061118967999424186
1027,0,0.11491236366005306
1028,0,0.1467799684721418
1029,0,0.21391590544595435
1030,1,0.6777170630433631
1031,0,0.03011391931668552
1032,0,0.34716399832222805
1033,1,0.9328722616829727
1034,0,0.47439806353992314
1035,0,0.2119782778307208
1036,0,0.26293877662312337
1037,0,0.03449270353388047
1038,0,0.2659053414814999
1039,0,0.12261384884521113
1040,0,0.3724017628492403
1041,0,0.13483350341355888
1042,1,0.9774267966234435
1043,0,0.1404635339527054
1044,0,0.03432158368430354
1045,1,0.5165970614067058
1046,0,0.03917220527230752
